Mag,Date,Has_Data,bx_min,bx_max,bx_mean,by_min,by_max,by_mean,bz_min,bz_max,bz_mean
pg0,2024-01-01,True,14530.89,15011.91,14742.65294865612,-1563.67,-111.39,-381.0373885784862,-55698.13,-53043.15,-53436.4151619126
pg0,2024-01-02,True,14371.8,15088.03,14720.358853900576,-1563.67,-193.01,-393.39410069571153,-55698.13,-53058.27,-53439.767841057575
pg0,2024-01-03,True,14491.54,15059.7,14707.415316388637,-586.55,-74.8,-371.9776913930518,-53631.31,-53080.91,-53450.56890102775
pg0,2024-01-04,True,14419.3,14946.88,14744.19608657856,-1563.67,-125.75,-387.9675377386197,-55698.13,-53099.67,-53458.8835282232
pg0,2024-01-05,True,14387.86,14847.25,14674.842560294881,-1563.67,-158.24,-377.10157814781667,-55698.13,-53190.39,-53476.183395355416
pg0,2024-01-06,True,13278.1,14908.76,14712.070973315913,-1563.67,-160.82,-372.7896321668609,-55698.13,-53120.9,-53474.274884470964
pg0,2024-01-07,True,14498.17,14972.39,14717.806592732699,-577.46,-166.51,-397.88047356116584,-55698.13,-53164.24,-53476.28953853925
pg0,2024-01-08,True,14467.97,14813.3,14648.532037171926,-1563.67,-105.76,-375.28390434455696,-55698.13,-53186.81,-53472.92865469113
pg0,2024-01-09,True,14413.67,14920.2,14662.931421821506,-1563.67,-196.42,-373.6094698213197,-55698.13,-53240.41,-53480.031320991424
pg0,2024-01-10,True,14366.28,14735.31,14610.835150115741,-568.9,-218.17,-377.64266597222223,-53780.31,-53254.95,-53493.15794340277
pg0,2024-01-11,True,14331.92,14771.02,14618.682129050927,-557.99,-247.9,-367.14565983796297,-53822.59,-53339.28,-53510.065172222225
pg0,2024-01-12,True,14419.41,14724.28,14641.391254861112,-515.18,-286.49,-382.63109861111116,-53706.13,-53379.74,-53495.518104050934
pg0,2024-01-13,True,14512.77,14760.64,14643.956347685185,-470.97,-262.39,-368.6879302083333,-53649.36,-53373.99,-53474.249632986124
pg0,2024-01-14,True,14333.56,14766.39,14638.160821412037,-552.83,-218.05,-380.11326388888887,-53802.42,-53344.73,-53511.885306828706
pg0,2024-01-15,True,14582.02,14850.89,14733.696472800926,-583.38,-211.6,-373.6948385416667,-53703.9,-53394.22,-53476.693946643514
pg0,2024-01-16,True,14632.92,14864.37,14731.816196296299,-484.75,-238.81,-390.2850998842592,-53591.26,-53377.57,-53468.65226851852
pg0,2024-01-17,True,14553.81,14806.91,14684.039061689815,-499.06,-299.27,-384.0837791666667,-53584.51,-53385.02,-53477.870448379625
pg0,2024-01-18,True,14312.1,14798.99,14655.176538078706,-496.18,-230.43,-377.07328530092593,-53690.01,-53359.27,-53490.26379988426
pg0,2024-01-19,True,14512.06,14870.94,14664.716681481485,-497.88,-222.63,-353.7853855324074,-53792.27,-53376.45,-53504.20607789351
pg0,2024-01-20,True,14400.65,14824.15,14654.166683796297,-518.47,-245.44,-381.592746875,-53738.91,-53364.55,-53495.43748090278
pg0,2024-01-21,True,14424.98,14781.05,14652.378600462962,-572.12,-289.65,-373.5140841435185,-53805.47,-53340.74,-53516.53656446759
pg0,2024-01-22,True,14383.06,14786.44,14598.377620833335,-516.59,-214.59,-381.1473174768518,-53713.17,-53270.73,-53470.906070254634
pg0,2024-01-23,True,14456.41,14793.65,14663.859146412036,-517.94,-260.45,-378.94992384259257,-53690.06,-53351.18,-53468.92990983796
pg0,2024-01-24,True,14609.52,14965.29,14728.423415046296,-579.69,-213.07,-379.3524427083333,-53634.41,-53409.7,-53480.20759097222
pg0,2024-01-25,True,14572.23,14867.54,14726.734256018519,-510.14,-283.96,-394.3494329861111,-53568.21,-53330.42,-53463.928523958326
pg0,2024-01-26,True,14617.56,14850.06,14734.127767708334,-549.66,-236.58,-376.7973128472222,-53593.89,-53260.64,-53450.89452673612
pg0,2024-01-27,True,14537.81,14722.52,14657.629175925927,-483.22,-243.15,-378.5364540509259,-53628.67,-53390.29,-53487.693600231476
